"analyte","parameter","NRM","Estimate","Std..Error","t.value","Pr...t..","fdr_pval","sig_t_or_f","scenario","parameter_groups"
"SS_QAQC","SHORT_NAMEBUR13","burdekin",0.882437372556003,0.204243777057793,4.32051044721088,2.36552335970235e-05,0.000189241868776188,1,"Post-2015","Sites"
"SS_QAQC","SHORT_NAMEBUR2","burdekin",0.373973654914346,0.211963382060608,1.76433142026113,0.0790766683829494,0.341761486911125,0,"Post-2015","Sites"
"SS_QAQC","SHORT_NAMEBUR4","burdekin",0.724723066916155,0.205447426538791,3.52753538521116,0.000511372238266919,0.00357960566786843,1,"Post-2015","Sites"
"SS_QAQC","SHORT_NAMEBUR7","burdekin",0.72916220410034,0.206986037404584,3.5227603428877,0.000520163974802918,0.00357960566786843,1,"Post-2015","Sites"
"SS_QAQC","Date_2","burdekin",-0.000130359934350128,0.000127855351174592,-1.01958919319784,0.309053499597106,0.512511974734834,0,"Post-2015","Trend"
"SS_QAQC","SEAS_C1","burdekin",0.0978338817317151,0.0859494180786465,1.13827276459503,0.256255987367417,0.512511974734834,0,"Post-2015","Seasonal"
"SS_QAQC","SEAS_C2","burdekin",0.167421346125167,0.091399365502242,1.83175610908437,0.068352297382225,0.341761486911125,0,"Post-2015","Seasonal"
"SECCHI_DEPTH","(Intercept)","burdekin",2.05327967733415,0.123732301103916,16.594532381724,8.72018358222537e-26,5.23211014933522e-25,1,"Pre-2015","Intercept"
"SECCHI_DEPTH","SHORT_NAMEBUR2","burdekin",-0.120359646182564,0.113869225501299,-1.05699890073627,0.294198775894697,0.88259632768409,0,"Pre-2015","Sites"
"SECCHI_DEPTH","SHORT_NAMEBUR4","burdekin",-0.710574968501361,0.112817231040878,-6.29846134269942,2.42168641409798e-08,1.21084320704899e-07,1,"Pre-2015","Sites"
"SECCHI_DEPTH","Date_2","burdekin",1.70110746409201e-05,4.9892805053202e-05,0.340952460435543,0.734175386413443,0.88259632768409,0,"Pre-2015","Trend"
"SECCHI_DEPTH","SEAS_C1","burdekin",-0.152986464515449,0.0748024226862012,-2.04520734785867,0.0446499241698443,0.178599696679377,0,"Pre-2015","Seasonal"
"SECCHI_DEPTH","SEAS_C2","burdekin",0.0619578096600715,0.0606475698162529,1.02160416069083,0.310536843251137,0.88259632768409,0,"Pre-2015","Seasonal"
"SECCHI_DEPTH","(Intercept)","burdekin",1.90715718832923,0.172362907878839,11.0647772876392,6.57601241602001e-11,3.945607449612e-10,1,"Pre-2015-S1","Intercept"
"SECCHI_DEPTH","SHORT_NAMEBUR2","burdekin",-0.265322582971878,0.161262029341517,-1.64528862780205,0.112945912490984,0.338837737472951,0,"Pre-2015-S1","Sites"
"SECCHI_DEPTH","SHORT_NAMEBUR4","burdekin",-0.705880091303254,0.157286564630664,-4.48786005950846,0.000152754777143058,0.000763773885715289,1,"Pre-2015-S1","Sites"
"SECCHI_DEPTH","Date_2","burdekin",0.000285022713825321,0.000141371112652691,2.01613122000066,0.0551117588360176,0.220447035344071,0,"Pre-2015-S1","Trend"
"SECCHI_DEPTH","SEAS_C1","burdekin",-0.117889082242136,0.125920738749224,-0.93621657094084,0.358487521176696,0.670289302670076,0,"Pre-2015-S1","Seasonal"
"SECCHI_DEPTH","SEAS_C2","burdekin",-0.0775842739997788,0.0788811780786293,-0.983558763821229,0.335144651335038,0.670289302670076,0,"Pre-2015-S1","Seasonal"
"SECCHI_DEPTH","(Intercept)","burdekin",2.00566821361993,0.138105149052061,14.5227620214497,1.26122512377558e-16,7.5673507426535e-16,1,"Pre-2015-S2","Intercept"
"SECCHI_DEPTH","SHORT_NAMEBUR2","burdekin",-0.137001220426239,0.142872946846281,-0.958902461595058,0.344004029667183,0.571203192025305,0,"Pre-2015-S2","Sites"
"SECCHI_DEPTH","SHORT_NAMEBUR4","burdekin",-0.769200144456053,0.142880394414193,-5.38352478385688,4.63442129792606e-06,2.31721064896303e-05,1,"Pre-2015-S2","Sites"
"SECCHI_DEPTH","Date_2","burdekin",0.000129475177822206,0.000119449631531623,1.08393116129395,0.285601596012653,0.571203192025305,0,"Pre-2015-S2","Trend"
"SECCHI_DEPTH","SEAS_C1","burdekin",-0.138299195026229,0.0859509828212968,-1.60904727888651,0.116341693188534,0.349025079565601,0,"Pre-2015-S2","Seasonal"
"SECCHI_DEPTH","SEAS_C2","burdekin",0.210117345531622,0.0831287593430597,2.52761315328309,0.0160154623526876,0.0640618494107505,0,"Pre-2015-S2","Seasonal"
"SECCHI_DEPTH","(Intercept)","burdekin",2.03405171547472,0.15339183615036,13.2604952553073,3.28020541433857e-15,1.96812324860314e-14,1,"Pre-2015-S3","Intercept"
"SECCHI_DEPTH","SHORT_NAMEBUR2","burdekin",-0.0181857066025684,0.163503779219598,-0.111224992409158,0.912073331952187,1,0,"Pre-2015-S3","Sites"
"SECCHI_DEPTH","SHORT_NAMEBUR4","burdekin",-0.585411536188365,0.163467942250687,-3.58120086500267,0.00102819075272669,0.00514095376363343,1,"Pre-2015-S3","Sites"
"SECCHI_DEPTH","Date_2","burdekin",-1.6448205646227e-05,0.000140840182274755,-0.116786313256393,0.907696968934975,1,0,"Pre-2015-S3","Trend"
"SECCHI_DEPTH","SEAS_C1","burdekin",-0.128019677558616,0.104766440289647,-1.22195311022004,0.229891601508222,0.919566406032888,0,"Pre-2015-S3","Seasonal"
"SECCHI_DEPTH","SEAS_C2","burdekin",0.101717320025753,0.0901483051220858,1.12833313824369,0.26685449558235,0.919566406032888,0,"Pre-2015-S3","Seasonal"
"SECCHI_DEPTH","(Intercept)","burdekin",2.14122025843326,0.0845567363863598,25.3228820072894,9.5120938980931e-66,9.5120938980931e-65,1,"Post-2015","Intercept"
"SECCHI_DEPTH","PROJECTMMP-JCU","burdekin",-0.393421174461698,0.0630602959960084,-6.23880951156019,2.3936388936804e-09,1.67554722557628e-08,1,"Post-2015","Intercept"
"SECCHI_DEPTH","SHORT_NAMEBUR10","burdekin",0.562048947482247,0.0909472850818503,6.17994200680556,3.28451201222237e-09,1.97070720733342e-08,1,"Post-2015","Sites"
"SECCHI_DEPTH","SHORT_NAMEBUR13","burdekin",-1.00110420256722,0.095471540085331,-10.4858914151007,5.85151330918575e-21,5.26636197826718e-20,1,"Post-2015","Sites"
"SECCHI_DEPTH","SHORT_NAMEBUR2","burdekin",-0.343517200682265,0.0947940946780092,-3.6238249001597,0.000364149024428972,0.00145659609771589,1,"Post-2015","Sites"
"SECCHI_DEPTH","SHORT_NAMEBUR4","burdekin",-0.588797530360485,0.0926610683699412,-6.35431406866325,1.27944835772946e-09,1.02355868618356e-08,1,"Post-2015","Sites"
"SECCHI_DEPTH","SHORT_NAMEBUR7","burdekin",-0.388681844623036,0.0940108253170538,-4.13443710670763,5.143041496895e-05,0.00025715207484475,1,"Post-2015","Sites"
"SECCHI_DEPTH","Date_2","burdekin",-0.000108705500085994,5.8129071980226e-05,-1.87007114311015,0.0628654050801956,0.14985934932399,0,"Post-2015","Trend"
"SECCHI_DEPTH","SEAS_C1","burdekin",0.0323668630946486,0.038697558069761,0.836405827889709,0.403877361079009,0.403877361079009,0,"Post-2015","Seasonal"
"SECCHI_DEPTH","SEAS_C2","burdekin",-0.0811701604813955,0.0411669320408919,-1.97173207857141,0.0499531164413299,0.14985934932399,0,"Post-2015","Seasonal"
"PP_QAQC","(Intercept)","burdekin",-2.78687648104436,0.0976035816109901,-28.5530145005515,1.18411339103882e-40,7.10468034623293e-40,1,"Pre-2015","Intercept"
"PP_QAQC","SHORT_NAMEBUR2","burdekin",0.265150895058326,0.0909406118410972,2.91564890196286,0.00474653346416758,0.0142396003925027,1,"Pre-2015","Sites"
"PP_QAQC","SHORT_NAMEBUR4","burdekin",0.602227310463849,0.0909418405810831,6.62211482213083,5.74633856639841e-09,2.87316928319921e-08,1,"Pre-2015","Sites"
"PP_QAQC","Date_2","burdekin",3.55075263552634e-05,3.98081156403575e-05,0.891967021902084,0.37542365225504,0.435375407321025,0,"Pre-2015","Trend"
"PP_QAQC","SEAS_C1","burdekin",0.25262911172187,0.060754734032403,4.15817986442229,8.8474335271242e-05,0.000353897341084968,1,"Pre-2015","Seasonal"
"PP_QAQC","SEAS_C2","burdekin",0.0599967606271927,0.0482391570989379,1.24373567523454,0.217687703660513,0.435375407321025,0,"Pre-2015","Seasonal"
"PP_QAQC","(Intercept)","burdekin",-2.7010534209489,0.155919469067088,-17.3233877533711,8.47390911707197e-16,5.08434547024318e-15,1,"Pre-2015-S1","Intercept"
"PP_QAQC","SHORT_NAMEBUR2","burdekin",0.252494036558962,0.142910994041483,1.76679224892712,0.0890019357312768,0.192715009216163,0,"Pre-2015-S1","Sites"
"PP_QAQC","SHORT_NAMEBUR4","burdekin",0.669139126988701,0.142895604291483,4.68271316186725,7.76657895914019e-05,0.000388328947957009,1,"Pre-2015-S1","Sites"
"PP_QAQC","Date_2","burdekin",-0.000129326428371931,0.000130423902099876,-0.991585332824159,0.330538969846671,0.330538969846671,0,"Pre-2015-S1","Trend"
"PP_QAQC","SEAS_C1","burdekin",0.224608897634518,0.116216511203739,1.9326763065599,0.0642383364053875,0.192715009216163,0,"Pre-2015-S1","Seasonal"
"PP_QAQC","SEAS_C2","burdekin",0.199756036100159,0.0696927407726405,2.86623877731865,0.00812280846620115,0.0324912338648046,1,"Pre-2015-S1","Seasonal"
"PP_QAQC","(Intercept)","burdekin",-2.53250714361914,0.0980845050904323,-25.8196454300728,8.0107883929287e-25,4.80647303575722e-24,1,"Pre-2015-S2","Intercept"
"PP_QAQC","SHORT_NAMEBUR2","burdekin",0.319538396605371,0.101470672009097,3.14907145363859,0.00328719730813989,0.00986159192441966,1,"Pre-2015-S2","Sites"
"PP_QAQC","SHORT_NAMEBUR4","burdekin",0.575784930698012,0.101475961391989,5.67410175572348,1.89500496625254e-06,9.47502483126269e-06,1,"Pre-2015-S2","Sites"
"PP_QAQC","Date_2","burdekin",-0.000186451364470189,8.48350555531936e-05,-2.1978103657076,0.0344786391232418,0.0689572782464836,0,"Pre-2015-S2","Trend"
"PP_QAQC","SEAS_C1","burdekin",0.271378444073709,0.0610437747609621,4.44563667853741,8.05884222448687e-05,0.000322353688979475,1,"Pre-2015-S2","Seasonal"
"PP_QAQC","SEAS_C2","burdekin",-0.104997922058748,0.0590393861120412,-1.77843858097525,0.0837786782528068,0.0837786782528068,0,"Pre-2015-S2","Seasonal"
"PP_QAQC","(Intercept)","burdekin",-2.71962537510733,0.115541233426505,-23.538136944308,4.81919334499936e-23,2.89151600699962e-22,1,"Pre-2015-S3","Intercept"
"PP_QAQC","SHORT_NAMEBUR2","burdekin",0.169190548008269,0.123157977601945,1.37376848258343,0.178248956644548,0.534746869933643,0,"Pre-2015-S3","Sites"
"PP_QAQC","SHORT_NAMEBUR4","burdekin",0.409536801140654,0.123130983677795,3.32602557787012,0.00207774247419319,0.010388712370966,1,"Pre-2015-S3","Sites"
"PP_QAQC","Date_2","burdekin",0.000126541402808258,0.000106086795649853,1.19281011395534,0.240967612294763,0.534746869933643,0,"Pre-2015-S3","Trend"
"PP_QAQC","SEAS_C1","burdekin",0.260201318224254,0.0789145239835611,3.29725511970974,0.00224642891455966,0.010388712370966,1,"Pre-2015-S3","Seasonal"
"PP_QAQC","SEAS_C2","burdekin",0.0138985862353058,0.0679035248975357,0.204681366045111,0.839006744723909,0.839006744723909,0,"Pre-2015-S3","Seasonal"
"PP_QAQC","(Intercept)","burdekin",-2.62334373778357,0.137071016449728,-19.1385736075408,1.20468034571355e-46,1.20468034571355e-45,1,"Post-2015","Intercept"
"PP_QAQC","PROJECTMMP-JCU","burdekin",-0.588879183446108,0.104658133700066,-5.62669295378174,6.3171813374365e-08,5.68546320369285e-07,1,"Post-2015","Intercept"
"PP_QAQC","SHORT_NAMEBUR10","burdekin",-0.458163667411313,0.14058091111984,-3.25907453410048,0.00131880649815596,0.00923164548709174,1,"Post-2015","Sites"
"PP_QAQC","SHORT_NAMEBUR13","burdekin",0.734868746555896,0.15150872362893,4.85033949830977,2.51495103964397e-06,2.01196083171517e-05,1,"Post-2015","Sites"
"PP_QAQC","SHORT_NAMEBUR2","burdekin",0.250153141391026,0.149007616773981,1.67879432479258,0.0947938369251657,0.284381510775497,0,"Post-2015","Sites"
"PP_QAQC","SHORT_NAMEBUR4","burdekin",0.492430778304991,0.151440622052288,3.25164260177806,0.00135193238571845,0.00923164548709174,1,"Post-2015","Sites"
"PP_QAQC","SHORT_NAMEBUR7","burdekin",0.352987043044236,0.151516772009749,2.32968956744619,0.0208460453144657,0.0833841812578627,0,"Post-2015","Sites"
"PP_QAQC","Date_2","burdekin",0.000119622415820511,9.6635767074265e-05,1.23786895310285,0.217252993543866,0.434505987087732,0,"Post-2015","Trend"
"PP_QAQC","SEAS_C1","burdekin",0.153087080095534,0.0619063284068277,2.47288256362899,0.0142585830506744,0.0712929152533723,0,"Post-2015","Seasonal"
"PP_QAQC","SEAS_C2","burdekin",-0.0423912860051922,0.0646184184654597,-0.656024814780193,0.512581472482545,0.512581472482545,0,"Post-2015","Seasonal"
"PN_SHIM_QAQC","(Intercept)","burdekin",0.0897474560040381,0.108893863101296,0.824173681124275,0.412809437251961,1,0,"Pre-2015","Intercept"
"PN_SHIM_QAQC","SHORT_NAMEBUR2","burdekin",0.159703334074185,0.0939554419027225,1.69977737148568,0.0938815116942089,0.375526046776836,0,"Pre-2015","Sites"
"PN_SHIM_QAQC","SHORT_NAMEBUR4","burdekin",0.41604649012038,0.0939567772068549,4.42806258886906,3.65768249396748e-05,0.000219460949638049,1,"Pre-2015","Sites"
"PN_SHIM_QAQC","Date_2","burdekin",4.28450360127168e-05,4.53383962809055e-05,0.945005547775875,0.348102880722421,1,0,"Pre-2015","Trend"
"PN_SHIM_QAQC","SEAS_C1","burdekin",0.26149237813378,0.0623274919315379,4.19545805598931,8.30435837375195e-05,0.000415217918687598,1,"Pre-2015","Seasonal"
"PN_SHIM_QAQC","SEAS_C2","burdekin",0.0429707830010216,0.0497349428552673,0.863995825351003,0.390719381957901,1,0,"Pre-2015","Seasonal"
"PN_SHIM_QAQC","(Intercept)","burdekin",0.164044133067693,0.229702392247234,0.714159445458143,0.482991787645371,1,0,"Pre-2015-S1","Intercept"
"PN_SHIM_QAQC","SHORT_NAMEBUR2","burdekin",0.0432942706733339,0.163941383011304,0.264083844347883,0.794289619207133,1,0,"Pre-2015-S1","Sites"
"PN_SHIM_QAQC","SHORT_NAMEBUR4","burdekin",0.382735878061518,0.163942426275439,2.33457492826467,0.0295746797168048,0.177448078300829,0,"Pre-2015-S1","Sites"
"PN_SHIM_QAQC","Date_2","burdekin",-3.26797535816388e-05,0.000202194670536679,-0.161625197612271,0.873145934960624,1,0,"Pre-2015-S1","Trend"
"PN_SHIM_QAQC","SEAS_C1","burdekin",0.310382475942096,0.137222877639668,2.26188578231923,0.0344358626307534,0.177448078300829,0,"Pre-2015-S1","Seasonal"
"PN_SHIM_QAQC","SEAS_C2","burdekin",0.0985502107481255,0.0789562122663228,1.24816284772769,0.225709269158835,0.902837076635339,0,"Pre-2015-S1","Seasonal"
